ID,Units,Location,Direction,Theta_0,Blocks,Family,Theta_1,Comment
B.10.41.001a,ea,"3, 4","1,2",2,2,,,"24x24 ACI 318 SMF, beam on one side"
B.10.41.002a,ea,1,"1,2",2,2,,,"24x36 ACI 318 SMF, beam on one side"
B.10.41.002a,ea,2,"1,2",1,,,,"24x36 ACI 318 SMF, beam on one side"
B.10.41.002b,ea,2--4,"1,2",3,3,,,"24x36 ACI 318 SMF, beam on both sides"
B.10.41.003a,ea,2,"1,2",1,,,,"36x36 ACI 318 SMF, beam on one side"
B.10.41.003b,ea,1,"1,2",3,3,,,"36x36 ACI 318 SMF, beam on both sides"
B.10.49.031,ea,all,0,15,15,,,Post-tensioned concrete flat slabs- columns with shear reinforcing 0<Vg/Vo<0.4
B.20.22.031,ft2,1,1,5040,168,,,"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry"
B.20.22.031,ft2,1,2,3360,112,,,"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry"
B.20.22.031,ft2,2--4,1,4680,156,,,"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry"
B.20.22.031,ft2,2--4,2,3120,104,,,"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry"
B.30.11.011,ft2,roof,0,5832,59,,,"Concrete tile roof, tiles secured and compliant with UBC94"
C.10.11.001a,ft,1,"1,2",660,7,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.10.11.001a,ft,2--4,"1,2",891,9,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.30.11.002c,ft,all,"1,2",113,2,,,"Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Slip Track Above w/ returns (friction connection)"
C.30.32.003b,ft2,all,0,21600,36,,,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): 250 < A < 1000, Vert & Lat support"
C.30.34.002,ea,all,0,648,24,,,Independent Pendant Lighting - seismically rated
D.10.14.011,ea,1,0,1,,,,"Traction Elevator â€“ Applies to most California Installations 1976 or later, most western states installations 1982 or later and most other U.S installations 1998 or later."
D.20.21.023a,ft,all,0,1230,2,,,"Cold or Hot Potable Water Piping (dia > 2.5 inches), SDC D,E,F, PIPING FRAGILITY"
D.20.21.023b,ft,all,0,1230,2,,,"Cold or Hot Potable Water Piping (dia > 2.5 inches), SDC D,E,F, BRACING FRAGILITY"
D.20.22.013a,ft,all,0,1920,2,,,"Heating hot Water Piping - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC D, E, or F, PIPING FRAGILITY"
D.20.22.023a,ft,all,0,760,,,,"Heating hot Water Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC D, E, or F, PIPING FRAGILITY"
D.20.22.023b,ft,all,0,760,,,,"Heating hot Water Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC D, E, or F, BRACING FRAGILITY"
D.20.31.013b,ft,all,0,1230,2,,,"Sanitary Waste Piping - Cast Iron w/flexible couplings, SDC D,E,F, BRACING FRAGILITY"
D.20.61.013b,ft,all,0,1920,2,,,"Steam Piping - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC D, E, or F, BRACING FRAGILITY"
D.30.31.013i,ea,roof,0,1,,,,Chiller - Capacity: 350 to <750 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility
D.30.31.023i,ea,roof,0,1,,,,Cooling Tower - Capacity: 350 to <750 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility
D.30.41.021c,ft,all,0,1620,2,,,"HVAC Stainless Steel Ducting less than 6 sq. ft in cross sectional area, SDC D, E, or F"
D.30.41.022c,ft,all,0,430,,,,"HVAC Stainless Steel Ducting -  6 sq. ft cross sectional area or greater, SDC D, E, or F"
D.30.41.032c,ea,all,0,19.44,20,,,"HVAC Drops / Diffusers without ceilings - supported by ducting only - No independent safety wires, SDC D, E, or F"
D.30.41.041b,ea,all,0,16,2,,,"Variable Air Volume (VAV) box with in-line coil, SDC C"
D.30.52.013i,ea,roof,0,4,4,,,Air Handling Unit - Capacity: 10000 to <25000 CFM - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility
D.40.11.023a,ft,all,0,4320,5,,,"Fire Sprinkler Water Piping - Horizontal Mains and Branches - Old Style Victaulic - Thin Wall Steel - with designed bracing, SDC D, E, or F (OSHPD or sim), PIPING FRAGILITY"
D.40.11.033a,ea,all,0,194,2,,,"Fire Sprinkler Drop Standard Threaded Steel - Dropping into unbraced lay-in tile SOFT ceiling - 6 ft. long drop maximum, SDC D, E, or F"