ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0,DS5-Theta_0
STR.RES1-Cost,0,1 EA,loss_ratio,0.005,0.023,0.117,0.234,0.234
STR.RES1-Time,0,1 EA,day,2,30,90,180,180
STR.RES2-Cost,0,1 EA,loss_ratio,0.004,0.024,0.073,0.244,0.244
STR.RES2-Time,0,1 EA,day,2,10,30,60,60
STR.RES3-Cost,0,1 EA,loss_ratio,0.003,0.014,0.069,0.138,0.138
STR.RES3-Time,0,1 EA,day,5,30,120,240,240
STR.RES4-Cost,0,1 EA,loss_ratio,0.002,0.014,0.068,0.136,0.136
STR.RES4-Time,0,1 EA,day,5,30,120,240,240
STR.RES5-Cost,0,1 EA,loss_ratio,0.004,0.019,0.094,0.188,0.188
STR.RES5-Time,0,1 EA,day,5,30,120,240,240
STR.RES6-Cost,0,1 EA,loss_ratio,0.004,0.018,0.092,0.184,0.184
STR.RES6-Time,0,1 EA,day,5,30,120,240,240
STR.COM1-Cost,0,1 EA,loss_ratio,0.006,0.029,0.147,0.294,0.294
STR.COM1-Time,0,1 EA,day,5,30,90,180,180
STR.COM2-Cost,0,1 EA,loss_ratio,0.006,0.032,0.162,0.324,0.324
STR.COM2-Time,0,1 EA,day,5,30,90,180,180
STR.COM3-Cost,0,1 EA,loss_ratio,0.003,0.016,0.081,0.162,0.162
STR.COM3-Time,0,1 EA,day,5,30,90,180,180
STR.COM4-Cost,0,1 EA,loss_ratio,0.004,0.019,0.096,0.192,0.192
STR.COM4-Time,0,1 EA,day,5,30,120,240,240
STR.COM5-Cost,0,1 EA,loss_ratio,0.003,0.014,0.069,0.138,0.138
STR.COM5-Time,0,1 EA,day,5,30,90,180,180
STR.COM6-Cost,0,1 EA,loss_ratio,0.002,0.014,0.070,0.140,0.140
STR.COM6-Time,0,1 EA,day,10,45,180,360,360
STR.COM7-Cost,0,1 EA,loss_ratio,0.003,0.014,0.072,0.144,0.144
STR.COM7-Time,0,1 EA,day,10,45,180,240,240
STR.COM8-Cost,0,1 EA,loss_ratio,0.002,0.010,0.050,0.100,0.100
STR.COM8-Time,0,1 EA,day,5,30,90,180,180
STR.COM9-Cost,0,1 EA,loss_ratio,0.003,0.012,0.061,0.122,0.122
STR.COM9-Time,0,1 EA,day,5,30,120,240,240
STR.COM10-Cost,0,1 EA,loss_ratio,0.013,0.061,0.304,0.609,0.609
STR.COM10-Time,0,1 EA,day,2,20,80,160,160
STR.IND1-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND1-Time,0,1 EA,day,10,30,120,240,240
STR.IND2-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND2-Time,0,1 EA,day,10,30,120,240,240
STR.IND3-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND3-Time,0,1 EA,day,10,30,120,240,240
STR.IND4-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND4-Time,0,1 EA,day,10,30,120,240,240
STR.IND5-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND5-Time,0,1 EA,day,20,45,180,360,360
STR.IND6-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND6-Time,0,1 EA,day,5,20,80,160,160
STR.AGR1-Cost,0,1 EA,loss_ratio,0.008,0.046,0.231,0.462,0.462
STR.AGR1-Time,0,1 EA,day,2,10,30,60,60
STR.REL1-Cost,0,1 EA,loss_ratio,0.003,0.020,0.099,0.198,0.198
STR.REL1-Time,0,1 EA,day,10,30,120,240,240
STR.GOV1-Cost,0,1 EA,loss_ratio,0.003,0.018,0.090,0.179,0.179
STR.GOV1-Time,0,1 EA,day,10,30,120,240,240
STR.GOV2-Cost,0,1 EA,loss_ratio,0.003,0.015,0.077,0.153,0.153
STR.GOV2-Time,0,1 EA,day,5,20,90,180,180
STR.EDU1-Cost,0,1 EA,loss_ratio,0.004,0.019,0.095,0.189,0.189
STR.EDU1-Time,0,1 EA,day,10,30,120,240,240
STR.EDU2-Cost,0,1 EA,loss_ratio,0.002,0.011,0.055,0.110,0.110
STR.EDU2-Time,0,1 EA,day,10,45,180,360,360
NSD.RES1-Cost,0,1 EA,loss_ratio,0.010,0.050,0.250,0.500,
NSD.RES2-Cost,0,1 EA,loss_ratio,0.008,0.038,0.189,0.378,
NSD.RES3-Cost,0,1 EA,loss_ratio,0.009,0.043,0.213,0.425,
NSD.RES4-Cost,0,1 EA,loss_ratio,0.009,0.043,0.216,0.432,
NSD.RES5-Cost,0,1 EA,loss_ratio,0.008,0.040,0.200,0.400,
NSD.RES6-Cost,0,1 EA,loss_ratio,0.008,0.041,0.204,0.408,
NSD.COM1-Cost,0,1 EA,loss_ratio,0.006,0.027,0.138,0.275,
NSD.COM2-Cost,0,1 EA,loss_ratio,0.006,0.026,0.132,0.265,
NSD.COM3-Cost,0,1 EA,loss_ratio,0.007,0.034,0.169,0.338,
NSD.COM4-Cost,0,1 EA,loss_ratio,0.007,0.033,0.164,0.329,
NSD.COM5-Cost,0,1 EA,loss_ratio,0.007,0.034,0.172,0.345,
NSD.COM6-Cost,0,1 EA,loss_ratio,0.008,0.035,0.174,0.347,
NSD.COM7-Cost,0,1 EA,loss_ratio,0.007,0.034,0.172,0.344,
NSD.COM8-Cost,0,1 EA,loss_ratio,0.007,0.036,0.178,0.356,
NSD.COM9-Cost,0,1 EA,loss_ratio,0.007,0.035,0.176,0.351,
NSD.COM10-Cost,0,1 EA,loss_ratio,0.004,0.017,0.087,0.174,
NSD.IND1-Cost,0,1 EA,loss_ratio,0.002,0.012,0.059,0.118,
NSD.IND2-Cost,0,1 EA,loss_ratio,0.002,0.012,0.059,0.118,
NSD.IND3-Cost,0,1 EA,loss_ratio,0.002,0.012,0.059,0.118,
NSD.IND4-Cost,0,1 EA,loss_ratio,0.002,0.012,0.059,0.118,
NSD.IND5-Cost,0,1 EA,loss_ratio,0.002,0.012,0.059,0.118,
NSD.IND6-Cost,0,1 EA,loss_ratio,0.002,0.012,0.059,0.118,
NSD.AGR1-Cost,0,1 EA,loss_ratio,0.000,0.008,0.038,0.077,
NSD.REL1-Cost,0,1 EA,loss_ratio,0.008,0.033,0.163,0.326,
NSD.GOV1-Cost,0,1 EA,loss_ratio,0.007,0.033,0.164,0.328,
NSD.GOV2-Cost,0,1 EA,loss_ratio,0.007,0.034,0.171,0.342,
NSD.EDU1-Cost,0,1 EA,loss_ratio,0.009,0.049,0.243,0.487,
NSD.EDU2-Cost,0,1 EA,loss_ratio,0.012,0.060,0.300,0.600,
NSA.RES1-Cost,0,1 EA,loss_ratio,0.005,0.027,0.080,0.266,
NSA.RES2-Cost,0,1 EA,loss_ratio,0.008,0.038,0.113,0.378,
NSA.RES3-Cost,0,1 EA,loss_ratio,0.008,0.043,0.131,0.437,
NSA.RES4-Cost,0,1 EA,loss_ratio,0.009,0.043,0.130,0.432,
NSA.RES5-Cost,0,1 EA,loss_ratio,0.008,0.041,0.124,0.412,
NSA.RES6-Cost,0,1 EA,loss_ratio,0.008,0.041,0.122,0.408,
NSA.COM1-Cost,0,1 EA,loss_ratio,0.008,0.044,0.129,0.431,
NSA.COM2-Cost,0,1 EA,loss_ratio,0.008,0.042,0.124,0.411,
NSA.COM3-Cost,0,1 EA,loss_ratio,0.010,0.050,0.150,0.500,
NSA.COM4-Cost,0,1 EA,loss_ratio,0.009,0.048,0.144,0.479,
NSA.COM5-Cost,0,1 EA,loss_ratio,0.010,0.052,0.155,0.517,
NSA.COM6-Cost,0,1 EA,loss_ratio,0.010,0.051,0.154,0.513,
NSA.COM7-Cost,0,1 EA,loss_ratio,0.010,0.052,0.153,0.512,
NSA.COM8-Cost,0,1 EA,loss_ratio,0.011,0.054,0.163,0.544,
NSA.COM9-Cost,0,1 EA,loss_ratio,0.010,0.053,0.158,0.527,
NSA.COM10-Cost,0,1 EA,loss_ratio,0.003,0.022,0.065,0.217,
NSA.IND1-Cost,0,1 EA,loss_ratio,0.014,0.072,0.218,0.725,
NSA.IND2-Cost,0,1 EA,loss_ratio,0.014,0.072,0.218,0.725,
NSA.IND3-Cost,0,1 EA,loss_ratio,0.014,0.072,0.218,0.725,
NSA.IND4-Cost,0,1 EA,loss_ratio,0.014,0.072,0.218,0.725,
NSA.IND5-Cost,0,1 EA,loss_ratio,0.014,0.072,0.218,0.725,
NSA.IND6-Cost,0,1 EA,loss_ratio,0.014,0.072,0.218,0.725,
NSA.AGR1-Cost,0,1 EA,loss_ratio,0.008,0.046,0.138,0.461,
NSA.REL1-Cost,0,1 EA,loss_ratio,0.009,0.047,0.143,0.476,
NSA.GOV1-Cost,0,1 EA,loss_ratio,0.010,0.049,0.148,0.493,
NSA.GOV2-Cost,0,1 EA,loss_ratio,0.010,0.051,0.151,0.505,
NSA.EDU1-Cost,0,1 EA,loss_ratio,0.007,0.032,0.097,0.324,
NSA.EDU2-Cost,0,1 EA,loss_ratio,0.006,0.029,0.087,0.290,
LF.RES1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.447,1.000,1.000
LF.RES1-Time,0,1 EA,day,2,30,90,180,180
LF.RES2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.375,1.000,1.000
LF.RES2-Time,0,1 EA,day,2,10,30,60,60
LF.RES3-Cost,0,1 EA,loss_ratio,0.020,0.100,0.413,1.000,1.000
LF.RES3-Time,0,1 EA,day,5,30,120,240,240
LF.RES4-Cost,0,1 EA,loss_ratio,0.020,0.100,0.414,1.000,1.000
LF.RES4-Time,0,1 EA,day,5,30,120,240,240
LF.RES5-Cost,0,1 EA,loss_ratio,0.020,0.100,0.418,1.000,1.000
LF.RES5-Time,0,1 EA,day,5,30,120,240,240
LF.RES6-Cost,0,1 EA,loss_ratio,0.020,0.100,0.418,1.000,1.000
LF.RES6-Time,0,1 EA,day,5,30,120,240,240
LF.COM1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.414,1.000,1.000
LF.COM1-Time,0,1 EA,day,5,30,90,180,180
LF.COM2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.418,1.000,1.000
LF.COM2-Time,0,1 EA,day,5,30,90,180,180
LF.COM3-Cost,0,1 EA,loss_ratio,0.020,0.100,0.400,1.000,1.000
LF.COM3-Time,0,1 EA,day,5,30,90,180,180
LF.COM4-Cost,0,1 EA,loss_ratio,0.020,0.100,0.404,1.000,1.000
LF.COM4-Time,0,1 EA,day,5,30,120,240,240
LF.COM5-Cost,0,1 EA,loss_ratio,0.020,0.100,0.396,1.000,1.000
LF.COM5-Time,0,1 EA,day,5,30,90,180,180
LF.COM6-Cost,0,1 EA,loss_ratio,0.020,0.100,0.398,1.000,1.000
LF.COM6-Time,0,1 EA,day,10,45,180,360,360
LF.COM7-Cost,0,1 EA,loss_ratio,0.020,0.100,0.397,1.000,1.000
LF.COM7-Time,0,1 EA,day,10,45,180,240,240
LF.COM8-Cost,0,1 EA,loss_ratio,0.020,0.100,0.391,1.000,1.000
LF.COM8-Time,0,1 EA,day,5,30,90,180,180
LF.COM9-Cost,0,1 EA,loss_ratio,0.020,0.100,0.395,1.000,1.000
LF.COM9-Time,0,1 EA,day,5,30,120,240,240
LF.COM10-Cost,0,1 EA,loss_ratio,0.020,0.100,0.456,1.000,1.000
LF.COM10-Time,0,1 EA,day,2,20,80,160,160
LF.IND1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND1-Time,0,1 EA,day,10,30,120,240,240
LF.IND2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND2-Time,0,1 EA,day,10,30,120,240,240
LF.IND3-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND3-Time,0,1 EA,day,10,30,120,240,240
LF.IND4-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND4-Time,0,1 EA,day,10,30,120,240,240
LF.IND5-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND5-Time,0,1 EA,day,20,45,180,360,360
LF.IND6-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND6-Time,0,1 EA,day,5,20,80,160,160
LF.AGR1-Cost,0,1 EA,loss_ratio,0.016,0.100,0.407,1.000,1.000
LF.AGR1-Time,0,1 EA,day,2,10,30,60,60
LF.REL1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.405,1.000,1.000
LF.REL1-Time,0,1 EA,day,10,30,120,240,240
LF.GOV1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.402,1.000,1.000
LF.GOV1-Time,0,1 EA,day,10,30,120,240,240
LF.GOV2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.399,1.000,1.000
LF.GOV2-Time,0,1 EA,day,5,20,90,180,180
LF.EDU1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.435,1.000,1.000
LF.EDU1-Time,0,1 EA,day,10,30,120,240,240
LF.EDU2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.442,1.000,1.000
LF.EDU2-Time,0,1 EA,day,10,45,180,360,360
