ID,Incomplete,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS5-Family,DS5-Theta_0,DS5-Theta_1
B.10.41.111a,0,,,,,,,lognormal,0.1,0.5,,,,,,
B.10.41.111b,0,,,,,,,lognormal,0.1,0.5,,,,,,
B.10.41.112a,0,,,,,,,lognormal,0.1,0.5,,,,,,
B.10.41.112b,0,,,,,,,lognormal,0.1,0.5,,,,,,
B.10.41.113a,0,,,,,,,lognormal,0.1,0.5,,,,,,
B.10.41.113b,0,,,,,,,lognormal,0.1,0.5,,,,,,
B.10.41.121a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.121b,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.122a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.122b,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.123a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.123b,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.131a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.131b,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.132a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.132b,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.133a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.41.133b,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.42.001a,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.001b,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.002a,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.002b,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.011a,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.011b,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.012a,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.012b,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.021a,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.021b,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.022a,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.42.022b,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.44.001,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.002,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.003,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.011,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.012,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.013,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.021,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.022,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.023,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.44.031,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.032,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.033,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.041,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.042,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.043,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.051,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.052,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.053,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.061,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.062,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.063,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.071,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.072,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.073,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.081,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.082,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.083,0,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,,,,
B.10.44.091,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.092,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.093,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.101,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.102,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.103,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.111,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.112,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.44.113,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.49.001a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.49.001b,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.002a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.49.002b,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.003a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.49.003b,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.011,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.012,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.021a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.49.021b,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.022a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.49.022b,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.031,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.032,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.041a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.49.041b,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.49.042a,0,,,,lognormal,0.1,0.5,,,,,,,,,
B.10.49.042b,0,,,,lognormal,0.2,0.5,,,,,,,,,
B.10.51.001,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.51.002,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.51.003,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.51.004,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.51.011,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.51.012,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.51.013,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.51.014,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.51.021,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.51.022,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.51.023,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.51.024,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.52.001,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.52.002,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.52.003,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.52.004,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.52.011,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.52.012,0,,,,lognormal,0.25,0.5,,,,,,,,,
B.10.52.013,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.52.014,0,,,,,,,lognormal,0.25,0.5,,,,,,
B.10.61.001a,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.61.001b,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.10.61.011a,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.10.61.011b,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.10.61.021a,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.10.61.021b,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.10.71.001,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.71.002,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.10.71.011,0,,,,lognormal,0.35,0.5,lognormal,0.25,0.5,,,,,,
B.10.71.012,0,,,,lognormal,0.35,0.5,lognormal,0.25,0.5,,,,,,
B.10.71.031,0,lognormal,0.25,0.5,,,,,,,,,,,,
B.20.11.001a,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.20.11.001b,0,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,,,,
B.20.11.011a,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.20.11.011b,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.20.11.021a,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.20.11.021b,0,lognormal,0.2,0.5,lognormal,0.1,0.5,,,,,,,,,
B.20.11.101,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.20.11.102,0,,,,lognormal,0.35,0.5,lognormal,0.25,0.5,,,,,,
B.20.11.111,0,,,,lognormal,0.35,0.5,lognormal,0.25,0.5,,,,,,
B.20.11.121,0,,,,lognormal,0.5,0.5,lognormal,0.25,0.5,,,,,,
B.20.11.131,0,lognormal,0.25,0.5,,,,,,,,,,,,
B.20.11.201b,0,lognormal,0.25,0.5,,,,,,,,,,,,
B.20.22.001,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.002,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.011,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.22.021,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.022,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.023,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.031,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.032,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.033,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.034,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.035,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.036,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.037,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.038,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.039,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.040,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.041,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.051,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.052,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.053,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.054,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.061,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.071,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.22.072,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.22.081,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.082,0,,,,lognormal,0.9,0.5,,,,,,,,,
B.20.22.083,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.22.084,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.22.091,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.22.101,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.22.201,0,,,,,,,lognormal,0.9,0.5,,,,,,
B.20.23.001,0,,,,,,,lognormal,0.5,0.5,,,,,,
B.20.23.002,0,,,,,,,lognormal,0.5,0.5,,,,,,
B.20.23.011,0,,,,,,,lognormal,0.5,0.5,,,,,,
B.20.23.021,0,,,,,,,lognormal,0.5,0.5,,,,,,
B.20.23.041,0,,,,,,,lognormal,0.5,0.5,,,,,,
B.30.11.011,0,,,,lognormal,0.5,0.5,,,,,,,,,
B.30.11.012,0,,,,lognormal,0.5,0.5,,,,,,,,,
B.30.11.013,0,,,,lognormal,0.5,0.5,,,,,,,,,
B.30.11.014,0,,,,lognormal,0.5,0.5,,,,,,,,,
B.30.31.001a,0,lognormal,0.25,0.5,lognormal,0.5,0.5,,,,,,,,,
B.30.31.001b,0,lognormal,0.25,0.5,lognormal,0.5,0.5,,,,,,,,,
B.30.31.001c,0,lognormal,0.25,0.5,lognormal,0.5,0.5,,,,,,,,,
B.30.31.002a,0,lognormal,0.25,0.5,lognormal,0.5,0.5,,,,,,,,,
B.30.31.002b,0,lognormal,0.25,0.5,lognormal,0.5,0.5,,,,,,,,,
B.30.31.002c,0,lognormal,0.25,0.5,lognormal,0.5,0.5,,,,,,,,,
B.30.41.001,0,lognormal,0.25,0.5,lognormal,0.5,0.5,,,,,,,,,
C.20.11.001a,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.001b,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.011a,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.011b,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.021a,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.021b,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.021c,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.021d,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.031a,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.20.11.031b,0,,,,,,,lognormal,0.75,0.5,,,,,,
C.30.11.003a,0,,,,lognormal,0.5,0.5,,,,,,,,,
C.30.11.003b,0,,,,lognormal,0.5,0.5,,,,,,,,,
C.30.11.003c,0,,,,lognormal,0.5,0.5,,,,,,,,,
C.30.11.003d,0,,,,lognormal,0.5,0.5,,,,,,,,,
C.30.32.001d,0,,,,lognormal,0.75,0.5,lognormal,0.5,0.5,,,,,,
C.30.32.003d,0,,,,lognormal,0.75,0.5,lognormal,0.5,0.5,,,,,,
C.30.32.004d,0,,,,lognormal,0.75,0.5,lognormal,0.5,0.5,,,,,,
