,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,8.765249381545932295e+01,1.758091289315688925e+02,2.016556395910094182e+02,4.773749772717587803e+01,3.871210268290762091e+00
1.000000000000000000e+00,6.305124150672553185e+01,2.174144734366857961e+02,1.216140740965163900e+02,1.950095379576738708e+01,1.934912174243220262e+00
2.000000000000000000e+00,1.256817183091921351e+02,3.154200569066265984e+02,1.021853085587168408e+02,7.595555156196519420e+01,5.261362413253000803e+00
3.000000000000000000e+00,1.948628725522692662e+02,2.848080874265364173e+02,7.462771551221901234e+01,6.766469515084847330e+01,4.519409930885697868e+00
4.000000000000000000e+00,9.739020134745318558e+01,1.926595034543904603e+02,3.432160591242804912e+02,4.261255846004248582e+01,3.164457565475687240e+00
5.000000000000000000e+00,7.786053659998779608e+01,4.626207720651913102e-01,9.172090405600731344e+01,3.889577169368498399e+00,4.664715562472811428e+01
6.000000000000000000e+00,7.082289568118288514e+01,1.885859587113021689e+02,6.087557732700943092e+01,4.271875077507166196e+01,3.572857567322335726e+00
7.000000000000000000e+00,1.538268874827787158e+02,4.521760057065650358e+02,2.427734002431033673e+02,9.373636299872099187e+01,6.285209608194731068e+00
8.000000000000000000e+00,1.068012799230333485e+02,2.805033428836081839e+02,1.672611200036638479e+02,7.959213335726337846e+01,5.428152948426308022e+00
9.000000000000000000e+00,2.002519854122789127e+02,5.168026899476652716e+02,6.203146161136712635e+02,1.136193104724668217e+02,7.281976594258552815e+00
1.000000000000000000e+01,1.666250853787683752e+02,5.909590558911024800e+02,3.338502659411750528e+02,8.755617677897986084e+01,5.943663580428387050e+00
1.100000000000000000e+01,2.081509594181683553e+02,3.335438169532196753e+02,1.154476078302340767e+02,8.947053339638083003e+01,5.796170852920626615e+00
1.200000000000000000e+01,2.071588291881072337e+02,2.432726786582442742e+02,1.836287885096862738e+02,8.916238562989512673e+01,5.771276376760860138e+00
1.300000000000000000e+01,2.332191313777426274e+02,5.189898816274345563e+02,1.885638797310982397e+02,1.249979307957291041e+02,7.758798023040980318e+00
1.400000000000000000e+01,6.891537405637771485e+01,2.014035253376610228e+02,1.013843632599987643e+02,3.941529731326627939e+01,3.350897714264069904e+00
1.500000000000000000e+01,2.452650026603683102e+02,4.281375958232695211e+02,1.515320884523532072e+02,9.927691426485273496e+01,6.295699775502901829e+00
1.600000000000000000e+01,1.013970894099792019e+02,3.825218654304023858e+02,3.943794678782343226e+02,4.212585509330772737e+01,3.170367280589421188e+00
1.700000000000000000e+01,1.245129336110204576e+02,3.397250538094431818e+02,1.158014996882004652e+02,6.264538030099688370e+01,4.353168030540974343e+00
1.800000000000000000e+01,1.131981864117224319e+02,2.418659635003605217e+02,1.542826960224889206e+02,4.169824952567739729e+01,3.317295684540079836e+00
1.900000000000000000e+01,1.499481213653245675e+02,4.618903833060863349e+02,3.307208968363637496e+02,7.567996475784480026e+01,5.062183300267346198e+00
2.000000000000000000e+01,1.462504765322763944e+02,3.307235896818111769e+02,2.046653647267140030e+01,5.887404450713858495e+01,4.213088255767781121e+00
2.100000000000000000e+01,1.008309241846238820e+02,7.229278787714585874e-01,1.299899051267704522e+02,5.124709604211292735e+00,6.935874255176142356e+01
2.200000000000000000e+01,1.625569617608849455e+02,4.018571166803654364e+02,4.604098685107354072e+02,7.098469343461404435e+01,4.818736794927260370e+00
2.300000000000000000e+01,1.822218445198560914e+02,4.749389590511560186e+02,1.548041293452419609e+02,7.567522949590100723e+01,5.082693443142722423e+00
2.400000000000000000e+01,1.258725457929637486e+02,2.888640431317981552e+02,1.436441915930800803e+02,7.347718529901834472e+01,4.885529148249623255e+00
2.500000000000000000e+01,2.140967981626754977e+02,1.306306578647167498e+03,2.061679378466527339e+02,9.757924458198873197e+01,6.183865911614521593e+00
2.600000000000000000e+01,9.434083579874530301e+01,2.790409642007883235e+02,2.326474371704623820e+02,4.939513332593795525e+01,3.937019947821186250e+00
2.700000000000000000e+01,7.973278919539151843e+01,2.353089935304767266e+02,4.178624549017017671e+02,4.116282802003082253e+01,3.467731226756772589e+00
2.800000000000000000e+01,1.017781000255812103e+02,2.609965164290633766e+02,1.393200102244704794e+02,5.470153504571297276e+01,4.015332532178464753e+00
2.900000000000000000e+01,7.951619756356369351e+01,5.144893974269056924e-01,7.109165003561268747e+01,4.004179050536714080e+00,4.866546368623969698e+01
3.000000000000000000e+01,2.455352650860615142e+02,8.385611509917763442e+02,3.453634293280713905e+02,9.199213129426907187e+01,5.668588964027044597e+00
3.100000000000000000e+01,6.542444548390682257e+01,2.306136911643439475e+02,7.911987477364623089e+01,2.125183824035995883e+01,2.070576203320788622e+00
3.200000000000000000e+01,2.796672543894145520e+02,9.720771509831452022e+02,7.521911205921855981e+02,1.016847826802167134e+02,6.401975402322235276e+00
3.300000000000000000e+01,1.483901071406396852e+02,5.871556615247384343e+02,4.534353118749970122e+02,7.576423634785784600e+01,5.085268056876107501e+00
3.400000000000000000e+01,1.798748041799195505e+02,5.711056107013993142e+02,1.650498862664123010e+02,1.081940868563896601e+02,7.003218189877997268e+00
3.500000000000000000e+01,2.238868828623518539e+02,4.529486341674356709e+02,3.566049351245543448e+02,8.698656991288589779e+01,5.473174016726978230e+00
3.600000000000000000e+01,2.228965596727441607e+02,9.252757063222122724e+02,1.053555136094275042e+02,1.149950009057187259e+02,7.382505892097724676e+00
3.700000000000000000e+01,1.396951511681367322e+02,3.365881878462477630e+02,2.345224758441300423e+02,8.993453665213372972e+01,6.080113562167634100e+00
3.800000000000000000e+01,1.773667019316426661e+02,2.890584191448170372e+02,4.575877667026406357e+02,7.293704485562298601e+01,4.857538571727034515e+00
3.900000000000000000e+01,3.187563991121732556e+02,6.582355493856703106e+02,1.402424159105307808e+02,9.964708845970609730e+01,6.312246915339833286e+00
4.000000000000000000e+01,3.490498310206436940e+02,1.091119065577205902e+03,3.932950387749872334e+02,1.008134694825008921e+02,6.292938820926970322e+00
4.100000000000000000e+01,1.045158342868999171e+02,1.418128590231796977e+02,4.042876644598476332e+01,3.013086072389549130e+01,2.583913597717643729e+00
4.200000000000000000e+01,1.362607718597205917e+02,8.141603080073145371e-01,2.489467308756111379e+02,6.109532914164476303e+00,9.018790207243364421e+01
4.300000000000000000e+01,9.787445688926359821e+01,1.893859283272688572e+02,1.089434907843749443e+02,5.484282487904510361e+01,4.001507349566428395e+00
4.400000000000000000e+01,1.726511259755109791e+02,4.006269185891926554e+02,4.759952268765168526e+01,8.953747155601222119e+01,6.056609623061445014e+00
4.500000000000000000e+01,1.207124068468481539e+02,2.877410100987827377e+02,8.440776904285679905e+01,5.990797417296865746e+01,4.237727559982709558e+00
4.600000000000000000e+01,6.994788196445880146e+01,2.421921858261377167e+02,1.193336079580711697e+02,1.269182157773630593e+01,1.278007594235130107e+00
4.700000000000000000e+01,2.364559927186634809e+02,6.049766852654638569e+02,2.991096973820315270e+02,1.140731584584666791e+02,7.307010479635347444e+00
4.800000000000000000e+01,1.365440690880782597e+02,4.676466495356134487e+02,2.875035532176863740e+02,7.924825098433255732e+01,5.412898740219041827e+00
4.900000000000000000e+01,4.895207840637512504e+02,1.526319551846563627e+03,4.739465021295877136e+02,1.311875299183723200e+02,7.423153893627629785e+00
5.000000000000000000e+01,2.031099840642835090e+02,2.351456583896959103e+02,1.039455401958539653e+02,7.874300729805065657e+01,5.260700458451066375e+00
5.100000000000000000e+01,9.716766910623525177e+01,2.736553740284767287e+02,1.778115749817446556e+02,5.336090015772560236e+01,3.901244133804983694e+00
5.200000000000000000e+01,3.130816491317968371e+02,1.390089242527560373e+03,1.281944292356690482e+02,1.143215116865346204e+02,6.834987167572275091e+00
5.300000000000000000e+01,6.635092297226674418e+01,1.835590105549305804e+02,3.389256876997809087e+01,3.608925503146630831e+01,2.861246467882087252e+00
5.400000000000000000e+01,1.404329249015188736e+02,3.436460971891680174e+02,2.775624829934041600e+02,9.767192824395800699e+01,6.498308449155949518e+00
5.500000000000000000e+01,2.276827346000743262e+02,6.421095770000910079e+02,2.609596823308958733e+02,8.118623462733948770e+01,5.382737014187318536e+00
5.600000000000000000e+01,1.253925472390586151e+02,6.720333224097229277e+02,2.068525104339780114e+02,6.499423799038844152e+01,4.796972713557875245e+00
5.700000000000000000e+01,2.115507007585034671e+02,6.885759317972978124e+02,2.607497764815670394e+02,8.728964351903731256e+01,5.685459579200995428e+00
5.800000000000000000e+01,1.452739487034068588e+02,4.262266386482008329e+02,1.029953674801263048e+02,6.844484468032378288e+01,4.662698476599569375e+00
5.900000000000000000e+01,1.268175225745774242e+02,5.283874641700582515e+02,5.777527931242748309e+02,4.785619648151809713e+01,3.612379713473496956e+00
6.000000000000000000e+01,1.951762661030384720e+02,5.953813849600581989e+02,2.363122103236903229e+02,9.129601136632244618e+01,6.168047602482308989e+00
6.100000000000000000e+01,1.915621633806477178e+02,6.528116213732816959e+02,1.953025401172057514e+02,7.599826934819584778e+01,5.109319468353693772e+00
6.200000000000000000e+01,3.233049710310331761e+02,6.085960884301772467e+02,1.119132754587154466e+02,1.040166852625932137e+02,6.487509538216749583e+00
6.300000000000000000e+01,5.005883665843212071e+01,1.960241798298887375e+02,1.498313500730681653e+02,1.620781556454121031e+01,1.643824705911353323e+00
6.400000000000000000e+01,2.113385406019618244e+02,3.788443738428567258e+02,7.908335981496368561e+01,8.581133386483092806e+01,5.606563645144576391e+00
6.500000000000000000e+01,2.112690152741112968e+02,4.657911932583902512e+02,3.840165127148216015e+02,7.972606301624247749e+01,5.297594917128360947e+00
6.600000000000000000e+01,8.077423116152971261e+01,2.483779633359814056e+02,5.241638509363020404e+01,5.398637332108621933e+01,4.155724946181655000e+00
6.700000000000000000e+01,8.508083964521495091e+01,4.004118024717282651e+02,2.192676684334650759e+02,2.373849077662319829e+01,2.186988743764806564e+00
6.800000000000000000e+01,6.708143826598822557e+01,2.198260542975545775e+02,2.114243343244946232e+02,4.102475098213929527e+01,3.461889257631349803e+00
6.900000000000000000e+01,1.300604686874008848e+02,3.769189821286177562e+02,1.218655269278595625e+02,4.470491162878040825e+01,3.425003650579565573e+00
7.000000000000000000e+01,1.204983387872857605e+02,4.002024321461246359e+02,1.379101116571656576e+02,4.913219396557938268e+01,3.655961305672503325e+00
7.100000000000000000e+01,8.918641058227305507e+01,3.604210721194884854e+02,8.357270552988842383e+01,3.829488633593378921e+01,2.992142102379034441e+00
7.200000000000000000e+01,1.587607358351042421e+02,6.162879537848332347e+02,4.357530762236357873e+02,9.263937918318933384e+01,5.941142680619129202e+00
7.300000000000000000e+01,2.142902183424293412e+02,1.372668590842246017e+00,8.617588540713857981e+01,7.674598248858091054e+00,1.189009042533805030e+02
7.400000000000000000e+01,3.038155368387207886e+02,8.940069255696568007e+02,3.340709438795740880e+02,9.586328850246654554e+01,6.080513813554918379e+00
7.500000000000000000e+01,3.548236113287795206e+02,1.653748735681417656e+03,5.219015597586183048e+02,1.013018350436286141e+02,6.322287045161203878e+00
7.600000000000000000e+01,1.117627671030011385e+02,3.923439817137411865e+02,2.831483091471758371e+02,4.086863796505712543e+01,3.252608653135540262e+00
7.700000000000000000e+01,2.306918391458633621e+01,7.266770527664382939e+01,3.178897391494705005e+01,5.606532949545435240e-01,1.203550792089725235e-01
7.800000000000000000e+01,5.964035653329211328e+01,1.924434919577045946e+02,1.610693580316301166e+02,2.831055706428308127e+01,2.372702255359484536e+00
7.900000000000000000e+01,6.929659847413590512e+01,3.387301381910327791e+02,1.109089163801397007e+02,1.773528714485081537e+01,1.660260538877023295e+00
8.000000000000000000e+01,1.918215162637387721e+02,9.030264528786807743e-01,9.007488377080861142e+01,7.323336251474426462e+00,1.123871032691322966e+02
8.100000000000000000e+01,1.492026321623307581e+02,5.142060717552635651e+02,2.178410819386543835e+02,6.863507447000677075e+01,4.693926126237942142e+00
8.200000000000000000e+01,2.339024540206745826e+02,3.749085981696774752e+02,9.454534145311946247e+01,9.757169577519154302e+01,6.214240306224760424e+00
8.300000000000000000e+01,1.281087447455982442e+02,7.260552568172604637e-01,3.446726387096559279e+02,5.870341358524783004e+00,8.649277344947924462e+01
8.400000000000000000e+01,1.063882399170855706e+02,3.071743904319860121e+02,9.419620243188273889e+01,3.384863227077391912e+01,2.835894277986389156e+00
8.500000000000000000e+01,1.003129117580109266e+02,2.080820171698835566e+02,5.014559537143520629e+01,5.995818751081785791e+01,4.048283208493637098e+00
8.600000000000000000e+01,1.507429470490124572e+02,6.125776973445506428e+02,4.621460160520530280e+02,7.824804545553122637e+01,5.360047970957134922e+00
8.700000000000000000e+01,1.018652487738213495e+02,2.381811184330430820e+02,1.881863550805555292e+02,3.803595808921051713e+01,3.101861890311581327e+00
8.800000000000000000e+01,8.123205999676798683e+01,8.260751583027035849e+01,7.545688449631958861e+01,5.176358273958729939e+01,3.853012780190807174e+00
8.900000000000000000e+01,2.199742553760631836e+02,5.561043447426899320e+02,1.176545228798119922e+02,8.565606572057902213e+01,5.606908980474557325e+00
9.000000000000000000e+01,8.465067654498105298e+01,7.575078563700963059e+02,1.835022018123929683e+02,3.109884576229777764e+01,2.644054976099207810e+00
9.100000000000000000e+01,1.228956962522574372e+02,3.398040219529613637e+02,2.110722342055141496e+02,7.323858671345630000e+01,4.917267496148867600e+00
9.200000000000000000e+01,1.975541690760577467e+02,3.627781495870406729e+02,4.979066584513307134e+02,8.499612363439338480e+01,5.570189104520469670e+00
9.300000000000000000e+01,9.185422161740005720e+01,4.556729074341844239e+02,1.607289341366817723e+02,7.118303911448079191e+01,5.054867374659584911e+00
9.400000000000000000e+01,1.122675311675541963e+02,2.110829387658635312e+02,1.222050981787674715e+02,6.473127394960889092e+01,4.451025080636004105e+00
9.500000000000000000e+01,1.493464031610374718e+02,4.074964927701814759e+02,2.146817618808332213e+02,8.756999264912630565e+01,5.920978085411148228e+00
9.600000000000000000e+01,2.178696220065626221e+02,7.173453355874138424e+02,1.732632622080151350e+02,9.906258546754918370e+01,6.282988646969982938e+00
9.700000000000000000e+01,1.498069791630208272e+02,6.534072872785039863e+02,2.148889438242086669e+02,8.070507759195338338e+01,5.341983652803927285e+00
9.800000000000000000e+01,5.382667892270034571e+01,1.422090110173726885e+02,1.455252156235218877e+02,1.296038459559981781e+01,1.375981342338191471e+00
9.900000000000000000e+01,2.674604833972078950e+02,4.268702409782414406e+02,9.151997635096154227e+01,1.235869030406874742e+02,7.707379996852842474e+00
